215,Ain Oussera Airport,35.52539825439453,2.8787100315093994,,DAAQ,airport,OurAirports
216,Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,TMR,DAAT,airport,OurAirports
217,Jijel Ferhat Abbas Airport,36.7951011658,5.87361001968,GJL,DAAV,airport,OurAirports
218,Mecheria Airport,33.535900116,-0.242353007197,MZW,DAAY,airport,OurAirports
219,Relizane Airport,35.752201,0.626272,,DAAZ,airport,OurAirports
220,Rabah Bitat Airport,36.822201,7.809174,AAE,DABB,airport,OurAirports
221,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,CZL,DABC,airport,OurAirports
222,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,TEE,DABS,airport,OurAirports
224,Hassi R'Mel Airport,32.93040084838867,3.311539888381958,HRM,DAFH,airport,OurAirports
225,Bou Chekif Airport,35.3410987854,1.46315002441,TID,DAOB,airport,OurAirports
226,Bou Sfer Airport,35.73540115356445,-0.8053889870643616,,DAOE,airport,OurAirports
227,Tindouf Airport,27.7003993988,-8.167099952700001,TIN,DAOF,airport,OurAirports
228,Ech Cheliff Airport,36.2126998901,1.33176994324,CFK,DAOI,airport,OurAirports
229,Tafaraoui Airport,35.54240036010742,-0.5322780013084412,TAF,DAOL,airport,OurAirports
230,Zenata – Messali El Hadj Airport,35.0167007446,-1.45000004768,TLM,DAON,airport,OurAirports
231,Es Senia Airport,35.6239013672,-0.6211829781529999,ORN,DAOO,airport,OurAirports
232,Sidi Bel Abbes Airport,35.1717987061,-0.593275010586,BFW,DAOS,airport,OurAirports
233,Ghriss Airport,35.207698822021484,0.14714199304580688,MUW,DAOV,airport,OurAirports
234,Touat Cheikh Sidi Mohamed Belkebir Airport,27.837600708007812,-0.18641400337219238,AZR,DAUA,airport,OurAirports
235,Biskra Airport,34.793300628699996,5.73823022842,BSK,DAUB,airport,OurAirports
236,El Golea Airport,30.571300506591797,2.8595900535583496,ELG,DAUE,airport,OurAirports
237,Noumérat - Moufdi Zakaria Airport,32.38410186767578,3.794110059738159,GHA,DAUG,airport,OurAirports
238,Oued Irara Airport,31.673000335699996,6.140439987180001,HME,DAUH,airport,OurAirports
239,In Salah Airport,27.250999450699997,2.51202011108,INZ,DAUI,airport,OurAirports
240,Touggourt Sidi Madhi Airport,33.06779861450195,6.088669776916504,TGR,DAUK,airport,OurAirports
241,Laghouat Airport,33.764400482199996,2.92833995819,LOO,DAUL,airport,OurAirports
242,Timimoun Airport,29.2371006012,0.276033014059,TMX,DAUT,airport,OurAirports
243,Ain el Beida Airport,31.917200088500977,5.412779808044434,OGX,DAUU,airport,OurAirports
244,In Aménas Airport,28.0515,9.64291,IAM,DAUZ,airport,OurAirports
245,Cadjehoun Airport,6.357230186462402,2.384350061416626,COO,DBBB,airport,OurAirports
246,Ouagadougou Airport,12.35319995880127,-1.5124200582504272,OUA,DFFD,airport,OurAirports
247,Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,BOY,DFOO,airport,OurAirports
248,Kotoka International Airport,5.605189800262451,-0.16678600013256073,ACC,DGAA,airport,OurAirports
249,Tamale Airport,9.55718994140625,-0.8632140159606934,TML,DGLE,airport,OurAirports
250,Wa Airport,10.0826997756958,-2.507689952850342,,DGLW,airport,OurAirports
251,Sunyani Airport,7.361830234527588,-2.3287599086761475,NYI,DGSN,airport,OurAirports
252,Takoradi Airport,4.896059989929199,-1.7747600078582764,TKD,DGTK,airport,OurAirports
253,Port Bouet Airport,5.261390209197998,-3.9262900352478027,ABJ,DIAP,airport,OurAirports
254,Bouaké Airport,7.738800048828125,-5.073669910430908,BYK,DIBK,airport,OurAirports
255,Daloa Airport,6.792809963226318,-6.473189830780029,DJO,DIDL,airport,OurAirports
256,Korhogo Airport,9.38718032837,-5.55666017532,HGO,DIKO,airport,OurAirports
257,Man Airport,7.272069931030273,-7.58735990524292,MJC,DIMN,airport,OurAirports
258,San Pedro Airport,4.746719837188721,-6.660820007324219,SPY,DISP,airport,OurAirports
259,Yamoussoukro Airport,6.9031701088,-5.36558008194,ASK,DIYO,airport,OurAirports
260,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,ABV,DNAA,airport,OurAirports
261,Akure Airport,7.246739864349365,5.3010101318359375,AKR,DNAK,airport,OurAirports
262,Benin Airport,6.316979885101318,5.5995001792907715,BNI,DNBE,airport,OurAirports
263,Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,CBQ,DNCA,airport,OurAirports
264,Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,ENU,DNEN,airport,OurAirports
265,Gusau Airport,12.1717,6.69611,,DNGU,airport,OurAirports
266,Ibadan Airport,7.362460136413574,3.97832989692688,IBA,DNIB,airport,OurAirports
267,Ilorin International Airport,8.440210342407227,4.493919849395752,ILR,DNIL,airport,OurAirports
268,Yakubu Gowon Airport,9.639829635620117,8.869050025939941,JOS,DNJO,airport,OurAirports
269,Kaduna Airport,10.696000099182129,7.320109844207764,KAD,DNKA,airport,OurAirports
270,Mallam Aminu International Airport,12.0476,8.52462,KAN,DNKN,airport,OurAirports
271,Maiduguri International Airport,11.855299949645996,13.080900192260742,MIU,DNMA,airport,OurAirports
272,Makurdi Airport,7.70388,8.61394,MDI,DNMK,airport,OurAirports
273,Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,LOS,DNMM,airport,OurAirports
274,Minna Airport,9.652170181274414,6.462259769439697,MXJ,DNMN,airport,OurAirports
275,Port Harcourt International Airport,5.0154900550842285,6.94959020614624,PHC,DNPO,airport,OurAirports
276,Sadiq Abubakar III International Airport,12.916299819946289,5.207190036773682,SKO,DNSO,airport,OurAirports
277,Yola Airport,9.257550239562988,12.430399894714355,YOL,DNYO,airport,OurAirports
278,Zaria Airport,11.1302,7.68581,ZAR,DNZA,airport,OurAirports
279,Maradi Airport,13.5024995803833,7.1267499923706055,MFQ,DRRM,airport,OurAirports
280,Diori Hamani International Airport,13.481499671936035,2.183609962463379,NIM,DRRN,airport,OurAirports
281,Tahoua Airport,14.875699996948242,5.265359878540039,THZ,DRRT,airport,OurAirports
282,Mano Dayak International Airport,16.965999603271484,8.000109672546387,AJY,DRZA,airport,OurAirports
283,Dirkou Airport,18.968700408935547,12.86870002746582,,DRZD,airport,OurAirports
284,Diffa Airport,13.372900009155273,12.626700401306152,,DRZF,airport,OurAirports
285,Zinder Airport,13.779000282287598,8.983759880065918,ZND,DRZR,airport,OurAirports
286,Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,MIR,DTMB,airport,OurAirports
287,Tunis Carthage International Airport,36.85100173950195,10.22719955444336,TUN,DTTA,airport,OurAirports
288,Sidi Ahmed Air Base,37.245398,9.79145,,DTTB,airport,OurAirports
289,Remada Air Base,32.30619812011719,10.382100105285645,,DTTD,airport,OurAirports
290,Gafsa Ksar International Airport,34.422000885009766,8.822500228881836,GAF,DTTF,airport,OurAirports
291,Gabès Matmata International Airport,33.87689971923828,10.103300094604492,GAE,DTTG,airport,OurAirports
292,Borj El Amri Airport,36.72129821777344,9.94314956665039,,DTTI,airport,OurAirports
293,Djerba Zarzis International Airport,33.875,10.775500297546387,DJE,DTTJ,airport,OurAirports
294,El Borma Airport,31.704299926757812,9.254619598388672,EBM,DTTR,airport,OurAirports
295,Sfax Thyna International Airport,34.71799850463867,10.690999984741211,SFA,DTTX,airport,OurAirports
296,Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,TOE,DTTZ,airport,OurAirports
297,Niamtougou International Airport,9.767330169677734,1.091249942779541,LRL,DXNG,airport,OurAirports
298,Lomé-Tokoin Airport,6.165609836578369,1.2545100450515747,LFW,DXXX,airport,OurAirports
299,Antwerp International Airport (Deurne),51.1893997192,4.46027994156,ANR,EBAW,airport,OurAirports
300,Beauvechain Air Base,50.75859832763672,4.768330097198486,,EBBE,airport,OurAirports
301,Kleine Brogel Air Base,51.168301,5.47,,EBBL,airport,OurAirports
302,Brussels Airport,50.901401519800004,4.48443984985,BRU,EBBR,airport,OurAirports
